47333,71333,SStoney
71333,92665,Fursum
92665,103332,Garvanturr
103332,124665,Seiioh
124665,156665,SStoney
156665,169998,Fursum
169998,183332,SStoney
183332,196665,Seiioh
196665,212154,Garvanturr
212154,230012,Fursum
230012,242940,SStoney
242940,257726,Seiioh
257726,274097,Garvanturr
274097,295430,Fursum
295430,310430,Garvanturr
310430,327430,Fursum
327430,348763,Seiioh
348763,370096,SStoney
370096,393130,Seiioh
393130,417971,Garvanturr
